Aktivitetstype,Dato,Favorit,Titel,Distance,Kalorier,Tid,Gennemsnitlig puls,Maks. puls,Aerob TE,Gennemsnit kadence løb,Maksimum kadence løb,Gennemsnitstempo,Bedste tempo,Samlet stigning,Samlet nedstigning,Gennemsnitlig skridtlængde,Gennemsnitligt vertikalt forhold,Gennemsnitligt vertikalt udsving,Gennemsnitlig kontakt med jorden,Gennemsnitlig NJT,Normalized Power® (NP®),Training Stress Score®,Gennemsnitlig effekt,Maksimal effekt,Skridt,Afladning af Body Battery,Dekompression,Tid for bedste omgang,Antal omgange,Tid i bevægelse,Tidsforbrug,Minimum højde,Maksimal højde
Løb,2026-07-01 17:27:35,false,"København Løb","13.91","1,177","01:17:48","161","177","5.0","154","163","5:36","5:02","64","62","1.15","8.5","9.8","293","5:35","379","0.0","375","559","11,930","'-16","Nej","00:05:06.0","14","01:17:43","01:17:48","18","39"
Løb,2026-06-24 17:55:36,false,"København Løb","6.46","530","00:33:30","160","180","4.4","155","159","5:11","4:44","21","20","1.24","8.2","10.1","287","5:11","412","0.0","409","490","5,148","'-8","Nej","00:02:18.1","7","00:33:29","00:33:30","18","28"
Løb,2026-06-06 16:51:33,false,"København Løb","8.16","674","00:43:04","160","177","4.8","155","164","5:17","4:59","35","32","1.22","8.2","10.0","288","5:17","403","0.0","400","522","6,608","'-8","Nej","00:00:47.8","9","00:43:02","00:43:04","19","28"
Løb,2026-05-30 08:06:49,false,"København Løb","7.01","559","00:36:18","155","173","4.6","158","165","5:11","4:46","28","21","1.22","8.1","9.9","281","5:10","416","0.0","413","517","5,712","'-14","Nej","00:00:02.4","8","00:36:15","00:36:18","17","29"
Løb,2026-05-27 17:40:15,false,"København Løb","12.13","1,004","01:04:10","160","173","5.0","155","163","5:17","5:00","52","50","1.21","8.2","10.0","288","5:17","407","0.0","403","513","9,894","'-15","Nej","00:00:38.2","13","01:04:07","01:04:10","18","29"
Løb,2026-05-22 16:35:31,false,"København Løb","5.42","391","00:26:17","160","177","4.2","158","165","4:51","4:27","27","25","1.30","7.9","10.2","274","4:51","435","0.0","431","524","4,154","'-7","Nej","00:01:52.7","6","00:26:14","00:26:17","16","26"
Løb,2026-04-28 16:20:56,false,"København Løb","12.35","1,009","01:13:02","148","168","4.9","154","160","5:55","5:12","50","44","1.10","--","--","--","--","--","0.0","--","--","11,200","--","Nej","00:02:00.2","13","01:12:59","01:13:02","17","34"
Løb,2026-04-19 18:09:02,false,"København Løb","7.24","579","00:41:18","141","177","4.1","154","160","5:42","4:59","29","25","1.14","--","--","--","--","--","0.0","--","--","6,348","--","Nej","00:01:17.3","8","00:41:16","00:41:30","17","29"
Løb,2026-04-08 18:28:09,false,"København Løb","10.37","853","01:00:02","159","173","4.5","155","160","5:47","5:08","27","26","1.12","--","--","--","--","--","0.0","--","--","9,278","--","Nej","00:02:03.1","11","01:00:00","01:00:02","16","31"
Løb,2026-04-02 11:01:44,false,"Aalborg Løb","9.23","755","00:54:41","155","172","4.2","158","168","5:55","5:08","67","63","1.07","--","--","--","--","--","0.0","--","--","8,604","--","Nej","00:01:18.8","10","00:54:39","00:54:41","1","64"
Løb,2026-03-29 12:57:57,false,"København Løb","15.55","1,328","01:35:50","162","177","5.0","157","171","6:10","5:37","26","26","1.03","--","--","--","--","--","0.0","--","--","15,086","--","Nej","00:03:19.1","16","01:35:42","01:36:05","15","29"
Løb,2026-03-26 16:42:10,false,"København Løb","7.12","593","00:43:35","152","167","4.4","156","162","6:07","5:39","24","18","1.05","--","--","--","--","--","0.0","--","--","6,792","--","Nej","00:00:39.2","8","00:43:33","00:43:35","16","29"
Løb,2026-03-23 16:44:53,false,"København Løb","10.33","860","01:03:20","152","175","5.0","155","219","6:08","5:25","31","27","1.05","--","--","--","--","--","0.0","--","--","9,816","--","Nej","00:02:00.5","11","01:03:14","01:03:20","16","29"
Løb,2026-03-19 18:32:42,false,"København Løb","7.09","573","00:44:53","147","166","4.5","154","162","6:20","5:28","29","23","1.02","--","--","--","--","--","0.0","--","--","6,898","--","Nej","00:00:36.3","8","00:44:51","00:44:53","17","29"
Løb,2026-03-14 12:23:37,false,"København Løb","7.20","601","00:41:00","151","164","5.0","157","163","5:42","5:22","21","16","1.12","--","--","--","--","--","0.0","--","--","6,414","--","Nej","00:01:05.6","8","00:40:58","00:41:00","16","29"
Løb,2026-03-11 11:20:39,false,"København Løb","8.73","717","00:48:42","155","177","5.0","154","225","5:35","4:49","8","11","1.16","--","--","--","--","--","0.0","--","--","7,498","--","Nej","00:03:55.3","9","00:48:39","00:48:42","'-0","10"
Løb,2025-12-28 18:46:34,false,"Aalborg Løb","9.02","743","00:51:46","156","173","4.7","158","166","5:44","4:38","47","42","1.11","--","--","--","--","--","0.0","--","--","8,144","--","Nej","00:00:06.0","10","00:51:45","00:51:46","2","31"
Løb,2025-12-23 10:29:47,false,"Jammerbugt Løb","8.44","668","00:43:45","160","177","5.0","161","169","5:11","3:29","49","49","1.19","--","--","--","--","--","0.0","--","--","7,070","--","Nej","00:02:11.3","9","00:43:41","00:43:45","5","30"
Løb,2025-12-21 14:09:44,false,"Jammerbugt Løb","7.49","560","00:39:33","155","176","4.9","157","166","5:17","4:26","40","39","1.21","--","--","--","--","--","0.0","--","--","6,186","--","Nej","00:02:16.7","8","00:39:31","00:39:33","6","28"
Løb,2025-12-19 13:10:19,false,"København Løb","7.16","565","00:36:44","171","187","5.0","159","166","5:08","4:43","16","15","1.23","--","--","--","--","--","0.0","--","--","5,832","--","Nej","00:00:49.6","8","00:36:39","00:36:44","15","32"
