 Date , Active Energy , Resting Energy , Resting , HRV , Steps , VO₂ max , Exercise Minutes , Stand Hours 
15/7/2026,665 kcal,1973 kcal,54 bpm,38,5478,,70,13
14/7/2026,1570 kcal,2077 kcal,52 bpm,39,16325,"49,0",115,15
13/7/2026,973 kcal,1975 kcal,67 bpm,28,8222,,115,12
12/7/2026,1884 kcal,1242 kcal,,45,25294,"48,9",150,12
11/7/2026,600 kcal,2003 kcal,67 bpm,27,8750,,21,13
10/7/2026,1119 kcal,1863 kcal,60 bpm,58,10389,,123,14
9/7/2026,1360 kcal,2001 kcal,,48,13854,"48,7",111,13
8/7/2026,1521 kcal,2021 kcal,63 bpm,39,14508,"48,7",169,13
7/7/2026,1054 kcal,1995 kcal,60 bpm,44,14941,"48,4",67,13
6/7/2026,765 kcal,1997 kcal,62 bpm,37,8322,,86,13
5/7/2026,1523 kcal,1988 kcal,59 bpm,43,20349,"48,1",115,14
4/7/2026,942 kcal,1966 kcal,54 bpm,46,6633,,101,14
3/7/2026,986 kcal,1966 kcal,59 bpm,42,5494,,114,11
2/7/2026,1114 kcal,2021 kcal,59 bpm,40,13516,"47,8",76,11
1/7/2026,1341 kcal,1511 kcal,,46,12585,"47,8",153,14
30/6/2026,1544 kcal,2044 kcal,65 bpm,30,15703,"47,6",118,15
29/6/2026,1553 kcal,2047 kcal,66 bpm,45,10242,"47,4",195,15
28/6/2026,1568 kcal,2006 kcal,63 bpm,53,18595,,131,13
27/6/2026,1021 kcal,2034 kcal,60 bpm,51,8677,,113,14
26/6/2026,1023 kcal,2072 kcal,62 bpm,55,8295,,84,16
22/6/2026,1107 kcal,2030 kcal,65 bpm,48,8171,,104,16
23/6/2026,1242 kcal,2027 kcal,63 bpm,37,22753,"46,8",80,13
18/6/2026,1082 kcal,1985 kcal,59 bpm,47,15583,"46,0",72,11
25/6/2026,1536 kcal,1651 kcal,57 bpm,48,13516,"47,2",138,16
20/6/2026,1096 kcal,1987 kcal,66 bpm,45,9242,,132,12
21/6/2026,1501 kcal,1973 kcal,59 bpm,35,19521,"46,4",122,12
24/6/2026,1597 kcal,2049 kcal,60 bpm,54,18983,"47,1",197,14
19/6/2026,877 kcal,2052 kcal,63 bpm,38,7424,,57,17